cruise,seq,date_time,ctrb_id,bottle,depth,dec_lat,dec_long,adinos,hdinos
14091,7,1991-05-20 22:51:00,H3,12,0,36.77,-122.01,-1.18469645928282,-0.190307358598577
14191,8,1991-05-21 22:20:00,H3,12,0,36.77,-122.01,-0.183176722343804,-0.465876158982497
14291,7,1991-05-22 22:10:00,H3,6,0,36.77,-122.01,0.127021121724323,0.40966427923543
14391,3,1991-05-23 21:43:00,H3,12,0,36.77,-122,1.17417914850845,1.38875757491636
14491,7,1991-05-24 19:54:00,H3,12,0,36.77,-122.01,-0.777192052887796,3.57740042513749
15891,1,1991-06-07 15:00:00,C1,12,0,36.79,-121.84,2.90656794426125,3.11966604349151
15891,5,1991-06-07 18:07:00,H3,12,0,36.77,-122.01,NA,-3.93713570624322
15891,6,1991-06-07 19:43:00,C7,12,0,36.63,-122.13,-1.56798411754174,0.91760466828152
15891,8,1991-06-07 21:34:00,H1,6,0,36.62,-121.89,0.165451724646695,2.35738535079054
17191,1,1991-06-20 14:50:00,C1,12,0,36.79,-121.84,-0.128518833658121,-0.550894429781712
17191,3,1991-06-20 16:25:00,H5,2,0,36.9,-122.01,0.477938316191516,NA
17191,5,1991-06-20 18:03:00,H3,12,0,36.77,-122.01,-0.868546352442246,-0.269043521122015
17191,6,1991-06-20 19:55:00,C7,12,0,36.63,-122.13,0.598256112915848,-0.667422905194715
17191,8,1991-06-20 21:44:00,H1,6,0,36.62,-121.89,0.0895161540813922,-1.30457429177356
18991,1,1991-07-08 14:44:00,C1,12,0,36.79,-121.84,2.08556127783746,1.61163010781699
18991,4,1991-07-08 16:52:00,L4,1,0,36.88,-122.08,0.123880850580199,1.70102900317405
18991,5,1991-07-08 17:56:00,H3,12,0,36.77,-122.01,0.902281864291345,2.0657046207347
18991,6,1991-07-08 19:45:00,C7,12,0,36.63,-122.13,2.21609310836957,2.72603667037745
18991,8,1991-07-08 21:32:00,H1,6,0,36.62,-121.89,2.84828426389504,4.60330452672764
20091,1,1991-07-19 14:48:00,C1,11,0,36.79,-121.84,1.07746627943835,1.59673922430464
20091,6,1991-07-19 18:54:00,H3,12,0,36.77,-122.01,2.70840487153255,3.18561211110997
20091,7,1991-07-19 21:06:00,C7,12,0,36.63,-122.13,0.849801295605276,4.19110287479402
21491,1,1991-08-02 14:42:00,C1,12,0,36.79,-121.84,0.756140758887727,2.70559144751013
21491,6,1991-08-02 18:45:00,H3,12,0,36.77,-122.01,0.0869883767251257,0.718148038320819
21491,7,1991-08-02 20:24:00,C7,12,0,36.63,-122.13,0.194548172830921,0.89767696560257
