cruise,seq,date_time,ctrb_id,bottle,depth,dec_lat,dec_long,biomass
15891,5,1991-06-07 18:07:00,H3,12,0,36.77,-122.01,4.41135151392651
15891,6,1991-06-07 19:43:00,C7,12,0,36.63,-122.13,4.46246216518242
15891,8,1991-06-07 21:34:00,H1,6,0,36.62,-121.89,3.89495836921111
17191,1,1991-06-20 14:50:00,C1,12,0,36.79,-121.84,4.78316394971413
17191,3,1991-06-20 16:25:00,H5,2,0,36.9,-122.01,2.78784555510943
17191,5,1991-06-20 18:03:00,H3,12,0,36.77,-122.01,3.81591202506863
17191,6,1991-06-20 19:55:00,C7,12,0,36.63,-122.13,3.06462973382277
17191,8,1991-06-20 21:44:00,H1,6,0,36.62,-121.89,4.6610886547471
18991,1,1991-07-08 14:44:00,C1,12,0,36.79,-121.84,4.89635977241447
18991,4,1991-07-08 16:52:00,L4,1,0,36.88,-122.08,3.03501543668031
18991,5,1991-07-08 17:56:00,H3,12,0,36.77,-122.01,3.33882983558529
18991,6,1991-07-08 19:45:00,C7,12,0,36.63,-122.13,3.34031513708049
18991,8,1991-07-08 21:32:00,H1,6,0,36.62,-121.89,5.14676960369128
20091,1,1991-07-19 14:48:00,C1,11,0,36.79,-121.84,5.87413715762911
20091,6,1991-07-19 18:54:00,H3,12,0,36.77,-122.01,6.82212633907678
20091,7,1991-07-19 21:06:00,C7,12,0,36.63,-122.13,5.80232758007834
21491,1,1991-08-02 14:42:00,C1,12,0,36.79,-121.84,4.74542938731822
21491,6,1991-08-02 18:45:00,H3,12,0,36.77,-122.01,3.76088287933292
21491,7,1991-08-02 20:24:00,C7,12,0,36.63,-122.13,5.17911497032585
21491,9,1991-08-02 22:09:00,H1,6,0,36.62,-121.89,5.4314348616538
22791,1,1991-08-15 14:46:00,C1,12,0,36.79,-121.84,4.32450293206529
22791,6,1991-08-15 18:53:00,H3,12,0,36.77,-122.01,4.25862629207396
22791,7,1991-08-15 20:42:00,C7,12,0,36.63,-122.13,4.33702137122242
22791,9,1991-08-15 22:27:00,H1,6,0,36.62,-121.89,3.72716778561912
25691,1,1991-09-13 14:42:00,C1,12,0,36.79,-121.84,4.2392904504984
25691,6,1991-09-13 18:46:00,H3,12,0,36.77,-122.01,5.48345760961081
25691,7,1991-09-13 20:38:00,C7,12,0,36.64,-122.13,2.53790643312801
25691,9,1991-09-13 22:32:00,H1,6,0,36.62,-121.89,3.4292227434124
28991,3,1991-10-16 17:04:00,H1,6,0,36.62,-121.89,5.29683948001152
28991,5,1991-10-16 18:04:00,Q5,2,0,36.63,-122.01,3.93035641669994
28991,7,1991-10-16 19:12:00,C7,12,0,36.63,-122.13,4.56248852586115
28991,8,1991-10-16 21:00:00,H3,12,0,36.77,-122.01,3.84847260393952
28991,9,1991-10-16 22:14:00,L4,2,0,36.88,-122.08,5.37801569954681
31791,1,1991-11-13 15:42:00,C1,12,0,36.79,-121.84,2.76978335336971
31791,4,1991-11-13 18:57:00,H5,1,0,36.9,-122.01,5.09218240189993
31791,5,1991-11-13 19:37:00,L4,2,0,36.88,-122.08,4.34246834654858
31791,6,1991-11-13 20:38:00,H3,12,0,36.77,-122.01,5.5260655920591
31791,7,1991-11-13 22:21:00,Q5,2,0,36.63,-122.01,2.75529262846218
31791,8,1991-11-13 23:11:00,H1,6,0,36.62,-121.89,4.59320910663442
35291,1,1991-12-18 15:49:00,C1,12,0,36.79,-121.84,3.52670352460847
35291,4,1991-12-18 18:15:00,H5,1,0,36.9,-122.01,3.53737208599141
35291,5,1991-12-18 18:43:00,L4,2,0,36.88,-122.08,3.2317373595968
35291,7,1991-12-18 20:19:00,H3,12,0,36.78,-122.01,3.9463218568365
35291,8,1991-12-18 22:00:00,C7,12,0,36.63,-122.13,3.1165600027566
35291,9,1991-12-18 23:09:00,Q5,2,0,36.63,-122.01,5.22071444725219
03692,1,1992-02-05 15:45:00,C1,12,0,36.79,-121.84,2.79744406549124
03692,2,1992-02-05 16:49:00,M3,2,0,36.78,-121.93,3.1857520396193
03692,5,1992-02-05 21:34:00,C7,12,0,36.63,-122.14,3.39067339830185
07192,1,1992-03-11 15:54:00,C1,12,0,36.79,-121.85,4.36705905218708
07192,2,1992-03-11 16:57:00,M3,2,0,36.78,-121.93,5.12997932114176
07192,3,1992-03-11 17:42:00,Q4,1,0,36.86,-121.91,2.71698153110213
SU92-1,1,1992-03-27 17:57:00,C1,12,0,36.8,-121.85,2.96704994010144
10692,2,1992-04-15 19:54:00,H3,12,0,36.63,-122.09,4.42536729868152
10792,1,1992-04-16 14:43:00,C1,12,0,36.79,-121.84,4.6191034851725
10792,5,1992-04-16 17:28:00,L4,2,0,36.88,-122.08,5.29691496364061
10792,6,1992-04-16 19:14:00,C7,12,0,36.63,-122.13,4.14236959248138
10792,8,1992-04-16 21:02:00,H1,6,0,36.62,-121.89,4.71579709084249
12192,1,1992-04-30 15:00:00,C1,12,0,36.79,-121.84,4.96696255255518
12192,3,1992-04-30 18:47:00,M3,2,0,36.78,-121.93,6.05147277428639
12192,4,1992-04-30 20:04:00,H3,12,0,36.77,-122.01,5.10988634089786
12192,5,1992-04-30 21:54:00,Q4,3,0,36.86,-121.9,5.2258526465925
12792,1,1992-05-06 14:47:00,C1,12,0,36.79,-121.85,4.05429496030209
12792,3,1992-05-06 16:26:00,Q4,2,0,36.86,-121.91,4.32735920692684
12792,4,1992-05-06 17:08:00,H5,1,0,36.9,-122.01,4.5195356498089
12792,5,1992-05-06 17:36:00,L4,1,0,36.88,-122.08,4.63049726067945
12792,6,1992-05-06 18:39:00,H3,12,0,36.77,-122.01,4.13979085616957
12792,7,1992-05-06 20:25:00,C7,12,0,36.63,-122.13,3.45445292624359
12792,8,1992-05-06 21:25:00,Q5,1,0,36.63,-122.01,3.83507904334617
12792,9,1992-05-06 22:05:00,H1,6,0,36.62,-121.89,5.10035965372928
16392,1,1992-06-11 14:57:00,C1,12,0,36.79,-121.84,3.60342850447858
16392,2,1992-06-11 15:54:00,M3,2,0,36.78,-121.92,3.62906373629643
16392,3,1992-06-11 16:36:00,Q4,2,0,36.86,-121.91,4.47184244119737
16392,4,1992-06-11 17:16:00,H5,1,0,36.9,-122.01,4.74518156681611
16392,5,1992-06-11 17:44:00,L4,1,0,36.88,-122.08,5.01139216759523
16392,6,1992-06-11 18:49:00,H3,12,0,36.77,-122.01,4.8884838181836
16392,7,1992-06-11 20:26:00,C7,12,0,36.63,-122.13,4.91041974260486
16392,8,1992-06-11 21:18:00,Q5,2,0,36.63,-122.01,5.06028574842743
16392,9,1992-06-11 22:00:00,H1,6,0,36.62,-121.89,5.10418819746103
16992,1,1992-06-17 20:01:00,H3,12,0,36.77,-122.01,6.51864380428161
16992,2,1992-06-17 21:29:00,C7,12,0,36.63,-122.13,6.57096518164856
18392,1,1992-07-01 14:51:00,C1,12,0,36.79,-121.84,3.94540513022504
18392,2,1992-07-01 15:54:00,M3,2,0,36.78,-121.92,3.65428619774847
