cruise,seq,date_time,ctrb_id,bottle,depth,dec_lat,dec_long,pennate,centric
31990,3,1990-11-15 19:57:00,C7,12,0,36.63,-122.13,1.40822144584376,0.907129293763263
31990,4,1990-11-15 21:01:00,Q5,1,0,36.63,-122.01,-1.54531822899679,0.34215889403492
31990,5,1990-11-15 21:43:00,H1,8,0,36.62,-121.89,1.50498742701756,2.60693222867286
33190,3,1990-11-27 20:02:00,H3,2,0,36.77,-122.01,3.20300393011085,1.0492003812564
34690,1,1990-12-12 17:07:00,H3,11,0,36.77,-122.01,-1.12183383380897,-0.675118675107267
34690,2,1990-12-12 21:49:00,C7,11,0,36.63,-122.13,-2.91025206820959,-1.67814511044389
34690,4,1990-12-12 23:39:00,H1,7,0,36.62,-121.89,NA,0.342698527267837
PP16,3,1990-12-13 04:34:00,3,11,0,36.33,-122.01,-1.78402942316614,-1.1182141561179
PP16,7,1990-12-13 08:26:00,7,11,0,36.33,-122.23,-0.778929494974694,-2.19490626669619
34790,1,1990-12-13 16:05:00,C1,11,0,36.79,-121.84,-2.7621315891395,-0.95673259032195
PP16,11,1990-12-13 17:27:00,11,11,0,36.48,-122.46,-0.134010364456076,-0.218353790554524
PP16,16,1990-12-14 20:42:00,16,11,0,36.33,-122.8,-0.15935335697831,-2.66707621813278
PP16,23,1990-12-15 05:39:00,67-60,11,0,36.45,-122.76,-1.71420416025959,-1.77398242144537
PP16,24,1990-12-17 20:00:00,67-55,11,0,36.6,-122.46,-0.475714304154718,-1.52112488296175
PP16,33,1990-12-18 23:15:00,67-50,11,0,36.78,-122.03,-1.4988137739762,NA
01091,1,1991-01-10 16:05:00,C1,12,0,36.79,-121.84,-1.84247398377256,-1.92651446729534
01091,3,1991-01-10 19:23:00,Q1,1,0,36.76,-122.22,-1.25602428079774,-1.26871045639987
01091,4,1991-01-10 20:39:00,C7,12,0,36.63,-122.13,-1.58785256140908,-1.65734746445625
02391,1,1991-01-23 16:11:00,C1,12,0,36.79,-121.85,0.86086850410819,2.4359655867339
02391,2,1991-01-23 17:36:00,H3,12,0,36.78,-122.02,1.71711925289342,3.17507414549295
02391,3,1991-01-23 20:51:00,C7,12,0,36.63,-122.13,-1.15102304929382,-0.714336088298993
02391,4,1991-01-23 22:03:00,Q5,2,0,36.63,-122.01,-1.50818180836137,0.338617077661429
02391,5,1991-01-23 22:47:00,H1,6,0,36.62,-121.89,-2.42281111030157,0.666234768536816
02491,2,1991-01-24 16:49:00,H5,1,0,36.9,-122.02,-2.42281111030157,0.666234768536816
03591,1,1991-02-04 16:12:00,C1,12,0,36.79,-121.85,3.08812925958144,0.601014895893677
03591,2,1991-02-04 17:39:00,H3,12,0,36.78,-122.02,2.86008080658778,4.57446075132288
03591,3,1991-02-04 19:12:00,Q1,2,0,36.76,-122.23,-1.65634609863554,-0.880802938944602
03591,4,1991-02-04 20:39:00,C7,12,0,36.63,-122.14,-1.14081961732074,-0.205571350747908
05091,1,1991-02-19 16:38:00,C1,12,0,36.79,-121.84,0.334669899100582,2.48494064921001
05091,2,1991-02-19 18:05:00,H3,12,0,36.77,-122.01,-1.4691413303955,1.87295074781065
05091,4,1991-02-19 23:09:00,C7,12,0,36.62,-122.13,2.67539497588722,3.70474448630651
07091,1,1991-03-11 16:02:00,C1,12,0,36.79,-121.84,-3.5762295705693,-0.187337314703072
07991,1,1991-03-20 16:02:00,C1,12,0,36.79,-121.84,0.367755625803431,-0.512271668785314
07991,2,1991-03-20 17:30:00,H1,6,0,36.62,-121.89,-0.0412866858058618,1.61642961342941
10291,1,1991-04-12 14:46:00,C1,12,0,36.79,-121.84,1.36363557889369,5.3364192376848
10291,6,1991-04-12 18:18:00,H3,12,0,36.77,-122.01,1.58033984004026,5.87009491667813
10291,7,1991-04-12 20:18:00,C7,12,0,36.63,-122.13,2.73196202114852,4.59134158003884
10291,9,1991-04-12 22:08:00,H1,6,0,36.62,-121.89,-0.238500873635252,5.95409882279857
11591,1,1991-04-25 14:52:00,C1,13,0,36.79,-121.84,1.82337957594176,4.33366053869982
11591,5,1991-04-25 18:11:00,H3,12,0,36.77,-122.01,1.55793112157359,2.85354956598967
11591,6,1991-04-25 20:10:00,C7,12,0,36.63,-122.14,-0.397455272660352,2.7271540221987
11591,8,1991-04-25 22:10:00,H1,6,0,36.62,-121.89,2.78165902489259,5.17010156396617
13091,1,1991-05-10 15:13:00,C1,11,0,36.79,-121.84,2.68454503987899,4.59308827272647
13091,3,1991-05-10 16:58:00,H5,2,0,36.9,-122.01,3.99474088854994,4.98394120271617
13091,5,1991-05-10 18:44:00,H3,12,0,36.77,-122,0.61333473804002,2.1953494871195
14091,7,1991-05-20 22:51:00,H3,12,0,36.77,-122.01,2.27779811845173,4.36271805556579
14191,8,1991-05-21 22:20:00,H3,12,0,36.77,-122.01,3.27970695712459,5.64948967220366
14291,7,1991-05-22 22:10:00,H3,6,0,36.77,-122.01,2.43586021528413,5.89901982071792
14391,3,1991-05-23 21:43:00,H3,12,0,36.77,-122,2.71962475674232,5.77087072995716
14491,7,1991-05-24 19:54:00,H3,12,0,36.77,-122.01,3.90841795503572,6.39357222033407
15891,1,1991-06-07 15:00:00,C1,12,0,36.79,-121.84,1.15593137478476,4.76237883688081
15891,5,1991-06-07 18:07:00,H3,12,0,36.77,-122.01,-1.70754149014404,2.00567833701005
15891,6,1991-06-07 19:43:00,C7,12,0,36.63,-122.13,-0.801505518533579,-1.85418821750237
15891,8,1991-06-07 21:34:00,H1,6,0,36.62,-121.89,1.00818307753196,3.4037837341672
17191,1,1991-06-20 14:50:00,C1,12,0,36.79,-121.84,3.59882645608136,4.20189752271534
17191,3,1991-06-20 16:25:00,H5,2,0,36.9,-122.01,-0.206405664560945,0.87180745971599
17191,5,1991-06-20 18:03:00,H3,12,0,36.77,-122.01,1.6670943688969,2.65479800686641
17191,6,1991-06-20 19:55:00,C7,12,0,36.63,-122.13,0.0492100759941202,1.51197060770783
17191,8,1991-06-20 21:44:00,H1,6,0,36.62,-121.89,3.45104615990511,4.15302409357599
18991,1,1991-07-08 14:44:00,C1,12,0,36.79,-121.84,3.10671002794433,4.38233080091064
18991,4,1991-07-08 16:52:00,L4,1,0,36.88,-122.08,2.1156436408989,2.35432167411551
18991,5,1991-07-08 17:56:00,H3,12,0,36.77,-122.01,2.2596425182988,2.40796188851935
18991,6,1991-07-08 19:45:00,C7,12,0,36.63,-122.13,-1.61613528988183,0.818519566327029
18991,8,1991-07-08 21:32:00,H1,6,0,36.62,-121.89,3.71037525502546,4.58378293043147
20091,1,1991-07-19 14:48:00,C1,11,0,36.79,-121.84,4.21958499630672,5.55879433966259
20091,6,1991-07-19 18:54:00,H3,12,0,36.77,-122.01,5.40880596906382,6.38852479983363
20091,7,1991-07-19 21:06:00,C7,12,0,36.63,-122.13,4.26879290085884,5.36804103094079
21491,1,1991-08-02 14:42:00,C1,12,0,36.79,-121.84,2.26197109767379,4.17541030026772
21491,6,1991-08-02 18:45:00,H3,12,0,36.77,-122.01,NA,-1.87560640380559
21491,7,1991-08-02 20:24:00,C7,12,0,36.63,-122.13,0.40396732031717,0.0517334475059529
21491,9,1991-08-02 22:09:00,H1,6,0,36.62,-121.89,2.44594576954189,4.9685932431097
22791,1,1991-08-15 14:46:00,C1,12,0,36.79,-121.84,-0.245849388849848,3.97459915236834
22791,6,1991-08-15 18:53:00,H3,12,0,36.77,-122.01,2.50439272371848,3.64195221986251
22791,7,1991-08-15 20:42:00,C7,12,0,36.63,-122.13,2.4289413180601,3.7055463613512
22791,9,1991-08-15 22:27:00,H1,6,0,36.62,-121.89,-3.33327708517818,1.99151360841717
25691,1,1991-09-13 14:42:00,C1,12,0,36.79,-121.84,3.08647197918079,3.13365879344091
25691,6,1991-09-13 18:46:00,H3,12,0,36.77,-122.01,5.3857115198528,1.75362760306568
25691,7,1991-09-13 20:38:00,C7,12,0,36.64,-122.13,-0.118455886970067,NA
25691,9,1991-09-13 22:32:00,H1,6,0,36.62,-121.89,0.865348112834922,2.25964314462537
28991,3,1991-10-16 17:04:00,H1,6,0,36.62,-121.89,4.2955653290945,2.47008569333886
28991,5,1991-10-16 18:04:00,Q5,2,0,36.63,-122.01,1.00379085607407,0.369956748967128
28991,7,1991-10-16 19:12:00,C7,12,0,36.63,-122.13,-1.97780234153566,3.8598973647365
28991,8,1991-10-16 21:00:00,H3,12,0,36.77,-122.01,-1.77667383181001,-0.883059071192018
28991,9,1991-10-16 22:14:00,L4,2,0,36.88,-122.08,4.43815973764557,4.28133723401843
31791,1,1991-11-13 15:42:00,C1,12,0,36.79,-121.84,1.71134988870935,0.786484961919261
31791,4,1991-11-13 18:57:00,H5,1,0,36.9,-122.01,4.91141371138598,3.16646409473819
31791,5,1991-11-13 19:37:00,L4,2,0,36.88,-122.08,4.04331593456161,2.8467989347025
31791,6,1991-11-13 20:38:00,H3,12,0,36.77,-122.01,5.3928547159777,3.21804371876392
31791,7,1991-11-13 22:21:00,Q5,2,0,36.63,-122.01,1.28552855139324,1.75209184289062
31791,8,1991-11-13 23:11:00,H1,6,0,36.62,-121.89,4.27157875585633,3.21049629446179
35291,1,1991-12-18 15:49:00,C1,12,0,36.79,-121.84,0.416054838462293,0.897132376989926
35291,4,1991-12-18 18:15:00,H5,1,0,36.9,-122.01,2.23485353286224,0.713934127176444
35291,5,1991-12-18 18:43:00,L4,2,0,36.88,-122.08,0.0411208298645256,2.10779537065979
35291,7,1991-12-18 20:19:00,H3,12,0,36.78,-122.01,2.24399990886009,3.06421441464037
35291,8,1991-12-18 22:00:00,C7,12,0,36.63,-122.13,-2.78058863639281,-0.673470051334398
35291,9,1991-12-18 23:09:00,Q5,2,0,36.63,-122.01,0.817452455650516,2.6069105428574
03692,1,1992-02-05 15:45:00,C1,12,0,36.79,-121.84,0.488789195392877,1.55786036712477
03692,2,1992-02-05 16:49:00,M3,2,0,36.78,-121.93,-3.95707267398187,-0.916305731986656
03692,5,1992-02-05 21:34:00,C7,12,0,36.63,-122.14,-0.69876090808453,1.37209274384088
07192,1,1992-03-11 15:54:00,C1,12,0,36.79,-121.85,2.27536239493505,3.75120507546885
07192,2,1992-03-11 16:57:00,M3,2,0,36.78,-121.93,4.0815444053027,4.38337964394389
